ref_date,acct_id,acct_sn,ccy_cd,l_s_type,value_date,opening_bal,closing_bal,inp_type,src_type,upd_userid,upd_datetime
"2022-02-17","871","JP MORGAN CHASE NY 2","USD","L","2022-02-16","0.00","0.00","0","1","System","2022-02-17 09:00:21"
"2022-02-17","877","MUTU NY CUSTEURO(JPY)48","JPY","L","2022-02-16","0.00","0.00","0","1","System","2022-02-17 09:00:21"
"2022-02-17","878","MUTU NY CUSTEURO(EUR)48","EUR","L","2022-02-16","0.00","0.00","0","1","System","2022-02-17 09:00:21"
"2022-02-17","879","MUTU NY CUSTEUR(USD)48","USD","L","2022-02-16","0.00","0.00","0","1","System","2022-02-17 09:00:21"
"2022-02-17","902","DEUT BK TR NY 1","USD","L","2022-02-16","8838.34","8712.09","0","1","System","2022-02-17 09:00:21"
"2022-02-17","922","BANKHANDLOWYWS","PLN","L","2022-02-16","47447.65","47447.65","0","1","System","2022-02-17 09:00:21"
"2022-02-17","924","HSBCHK","CNY","L","2022-02-16","0.00","0.00","0","1","System","2022-02-17 09:00:22"
"2022-02-17","930","C S (SWITZERLAND)","CHF","L","2022-02-16","29769.94","29687.79","0","1","System","2022-02-17 09:00:22"
"2022-02-17","1025","CITIBANKNY","USD","L","2022-02-16","0.00","0.00","0","1","System","2022-02-17 09:00:22"
"2022-02-17","1038","STANDARD CHART HK","CNY","L","2022-02-16","50014.21","50014.21","0","1","System","2022-02-17 09:00:22"
"2022-02-17","1207","ANZMEL","AUD","L","2022-02-16","103666.58","117135.41","0","1","System","2022-02-17 09:00:22"
"2022-02-17","1","DEUTSCHE BK TR NY","USD","S","2022-02-16","285915.54","288028.24","0","3","System","2022-02-17 09:00:33"
"2022-02-17","1038","STANDARD CHART HK","CNY","S","2022-02-16","50014.21","50014.21","0","3","System","2022-02-17 09:00:33"
"2022-02-17","1207","ANZMEL","AUD","S","2022-02-16","103666.58","117135.41","0","3","System","2022-02-17 09:00:33"
"2022-02-17","4","JP MORGAN CHASE NY","USD","S","2022-02-16","9058.95","9058.95","0","3","System","2022-02-17 09:00:33"
"2022-02-17","495","SKANDISTOCKHOLM","SEK","S","2022-02-16","8334904.40","8334904.40","0","3","System","2022-02-17 09:00:33"
"2022-02-17","504","DANSKE BANK COPENH","DKK","S","2022-02-16","23827.31","23827.31","0","3","System","2022-02-17 09:00:33"
"2022-02-17","547","MUTB TOKYO (JPY)","JPY","S","2022-02-16","384834272.00","331926190.00","0","3","System","2022-02-17 09:00:33"
"2022-02-17","590","DEUTSCHFFT","EUR","S","2022-02-16","350772.88","347096.44","0","3","System","2022-02-17 09:00:33"
"2022-02-17","649","BKOFNZWEL","NZD","S","2022-02-17","1850623.08","12623.08","0","3","System","2022-02-17 09:00:33"
"2022-02-17","653","DEVELOP BK SPR SPR","SGD","S","2022-02-16","13238.11","13238.11","0","3","System","2022-02-17 09:00:33"
"2022-02-17","7","MUTU NY 41","USD","S","2022-02-16","0.00","0.00","0","3","System","2022-02-17 09:00:33"
"2022-02-17","743","BTMU LONDON - GBP","GBP","S","2022-02-16","500.00","500.00","0","3","System","2022-02-17 09:00:33"
"2022-02-17","748","RBC TOR (NOSTRO)","CAD","S","2022-02-16","131744.91","131744.91","0","3","System","2022-02-17 09:00:33"
"2022-02-17","752","NAT WEST LONDON","GBP","S","2022-02-16","55541.67","75462.52","0","3","System","2022-02-17 09:00:33"
"2022-02-17","771","BTMU (JPY CLS)","JPY","S","2022-02-17","2194823.00","2194823.00","0","3","System","2022-02-17 09:00:33"
"2022-02-17","781","BTMU LONDON - EUR","EUR","S","2022-02-16","2280.88","2280.88","0","3","System","2022-02-17 09:00:33"
"2022-02-17","790","STANDARD CHART HK","HKD","S","2022-02-16","13141.74","13141.74","0","3","System","2022-02-17 09:00:33"
"2022-02-17","854","JP MORGAN CHASE NY 1","USD","S","2022-02-16","63344.36","63794.36","0","3","System","2022-02-17 09:00:33"
"2022-02-17","869","BTMU MEXICO","MXN","S","2022-02-16","301050.20","301050.20","0","3","System","2022-02-17 09:00:33"
"2022-02-17","877","MUTU NY CUSTEURO(JPY)48","JPY","S","2022-02-16","0.00","0.00","0","3","System","2022-02-17 09:00:33"
"2022-02-17","878","MUTU NY CUSTEURO(EUR)48","EUR","S","2022-02-16","0.00","0.00","0","3","System","2022-02-17 09:00:33"
"2022-02-17","902","DEUT BK TR NY 1","USD","S","2022-02-16","8712.09","8712.09","0","3","System","2022-02-17 09:00:33"
"2022-02-17","922","BANKHANDLOWYWS","PLN","S","2022-02-16","47447.65","47447.65","0","3","System","2022-02-17 09:00:33"
"2022-02-17","930","C S (SWITZERLAND)","CHF","S","2022-02-16","29769.94","29687.79","0","3","System","2022-02-17 09:00:33"
"2022-02-17","1025","CITIBANKNY","USD","S","2022-02-16","0.00","0.00","1","0","MirandaM","2022-02-17 09:00:36"
"2022-02-17","879","MUTU NY CUSTEUR(USD)48","USD","S","2022-02-16","0.00","0.00","1","0","MirandaM","2022-02-17 09:00:41"
"2022-02-17","37","FEDNY","USD","S","2022-02-16","0.00","5985298862.66","1","0","MirandaM","2022-02-17 09:00:55"
"2022-02-16","1","DEUTSCHE BK TR NY","USD","L","2022-02-15","277459.37","236246.65","0","1","System","2022-02-16 09:00:38"
"2022-02-16","4","JP MORGAN CHASE NY","USD","L","2022-02-15","9058.95","238558.95","0","1","System","2022-02-16 09:00:38"
"2022-02-16","7","MUTU NY 41","USD","L","2022-02-15","0.00","0.00","0","1","System","2022-02-16 09:00:38"
"2022-02-16","8","EUROCLEAR CUST BR","USD","L","2022-02-15","0.00","0.00","0","1","System","2022-02-16 09:00:38"
"2022-02-16","37","FEDNY","USD","L","2022-02-15","7293998616.16","6587191830.58","0","1","System","2022-02-16 09:00:38"
"2022-02-16","157","MUTB TOKYO ( USD )","USD","L","2022-02-15","0.00","0.00","0","1","System","2022-02-16 09:00:38"
"2022-02-16","444","MUTB LDN","GBP","L","2022-02-15","0.00","0.00","0","1","System","2022-02-16 09:00:38"
"2022-02-16","495","SKANDISTOCKHOLM","SEK","L","2022-02-15","134904.40","8334904.40","0","1","System","2022-02-16 09:00:38"
"2022-02-16","504","DANSKE BANK COPENH","DKK","L","2022-02-15","23827.31","23827.31","0","1","System","2022-02-16 09:00:38"
"2022-02-16","511","DEN NOR BANK(DNB)","NOK","L","2022-02-15","77172.18","77172.18","0","1","System","2022-02-16 09:00:38"
"2022-02-16","516","WESTPACSYD","AUD","L","2022-02-15","0.00","0.00","0","1","System","2022-02-16 09:00:39"
"2022-02-16","522","EUROCLEAR CUST BR","JPY","L","2022-02-15","0.00","0.00","0","1","System","2022-02-16 09:00:39"
"2022-02-16","547","MUTB TOKYO (JPY)","JPY","L","2022-02-15","384194748.00","384834272.00","0","1","System","2022-02-16 09:00:39"
"2022-02-16","590","DEUTSCHFFT","EUR","L","2022-02-15","381491.42","350822.88","0","1","System","2022-02-16 09:00:39"
"2022-02-16","591","EUROCLEAR CUST BR - 1","EUR","L","2022-02-15","858.22","858.22","0","1","System","2022-02-16 09:00:39"
"2022-02-16","615","MUTB TOKYO ( EUR )","EUR","L","2022-02-15","0.00","0.00","0","1","System","2022-02-16 09:00:39"
"2022-02-16","649","BKOFNZWEL","NZD","L","2022-02-15","12779.08","1850779.08","0","1","System","2022-02-16 09:00:39"
"2022-02-16","653","DEVELOP BK SPR SPR","SGD","L","2022-02-15","13357.62","13278.11","0","1","System","2022-02-16 09:00:39"
"2022-02-16","743","BTMU LONDON - GBP","GBP","L","2022-02-15","500.00","500.00","0","1","System","2022-02-16 09:00:39"
"2022-02-16","748","RBC TOR (NOSTRO)","CAD","L","2022-02-15","108350.21","131744.91","0","1","System","2022-02-16 09:00:39"
"2022-02-16","752","NAT WEST LONDON","GBP","L","2022-02-15","50718.98","55554.37","0","1","System","2022-02-16 09:00:39"
"2022-02-16","753","BTMU NY","USD","L","2022-02-15","0.00","0.00","0","1","System","2022-02-16 09:00:39"
"2022-02-16","771","BTMU (JPY CLS)","JPY","L","2022-02-15","2194822.00","2194822.00","0","1","System","2022-02-16 09:00:39"
"2022-02-16","778","EUROCLEAR CUST","CAD","L","2022-02-15","0.00","0.00","0","1","System","2022-02-16 09:00:39"
"2022-02-16","781","BTMU LONDON - EUR","EUR","L","2022-02-15","2285.88","2285.88","0","1","System","2022-02-16 09:00:39"
"2022-02-16","790","STANDARD CHART HK","HKD","L","2022-02-15","13141.74","13141.74","0","1","System","2022-02-16 09:00:40"
"2022-02-16","791","EUROCLEAR CUST BR - 0","EUR","L","2022-02-15","500.00","500.00","0","1","System","2022-02-16 09:00:40"
"2022-02-16","851","FIRSTRAND BANK LTD","ZAR","L","2022-02-15","9024.06","9024.06","0","1","System","2022-02-16 09:00:40"
"2022-02-16","854","JP MORGAN CHASE NY 1","USD","L","2022-02-15","94769.40","63894.37","0","1","System","2022-02-16 09:00:40"
"2022-02-16","869","BTMU MEXICO","MXN","L","2022-02-15","301050.20","301050.20","0","1","System","2022-02-16 09:00:40"
"2022-02-16","871","JP MORGAN CHASE NY 2","USD","L","2022-02-15","0.00","0.00","0","1","System","2022-02-16 09:00:40"
"2022-02-16","877","MUTU NY CUSTEURO(JPY)48","JPY","L","2022-02-15","0.00","0.00","0","1","System","2022-02-16 09:00:40"
